cell_id,grid_x,grid_y,area_km2,building_count,building_footprint_m2,median_building_footprint_m2,building_footprint_share,building_density_km2,poi_count,poi_density_km2,poi_healthcare,poi_healthcare_density_km2,poi_education,poi_education_density_km2,poi_food_drink,poi_food_drink_density_km2,poi_retail_markets,poi_retail_markets_density_km2,poi_transport,poi_transport_density_km2,poi_civic_religious,poi_civic_religious_density_km2,poi_recreation_culture,poi_recreation_culture_density_km2,poi_other,poi_other_density_km2,distance_healthcare_m,distance_education_m,distance_market_m,distance_park_m,distance_transport_m,landuse_residential_share,landuse_commercial_share,landuse_industrial_share,landuse_institutional_share,landuse_green_share,landuse_transport_share,landuse_other_share,mapped_landuse_share,road_length_km,road_density_km_km2,intersection_count,intersection_density_km2,cell_neighbor_count,cell_degree_centrality,cell_betweenness_centrality,cluster_id,pca_1,pca_2,urban_class
C014_030,14,30,0.2375,745.0,68401.922902,57.851967,0.288008,3136.843944,17,71.578989,0,0.0,3,12.631586,2,8.421058,1,4.210529,0,0.0,2,8.421058,0,0.0,9,37.894759,161.923297,337.954966,515.270649,1805.944409,424.626594,0.019047,0.0,0.527832,0.0,0.0,0.0,0.0,0.546879,1.304364,5.492062,3,12.631586,5,0.007788,0.001125,1,-1.106731,-3.00394,Cluster 1 · market-distant / service-light
C015_000,15,0,0.500357,2137.0,229299.943958,82.441863,0.458273,4270.953651,86,171.877405,4,7.994298,12,23.982894,8,15.988596,14,27.980043,1,1.998574,3,5.995723,1,1.998574,43,85.938702,209.141443,161.821777,284.674397,420.681862,383.997378,0.01098,0.0,0.000426,0.02719,0.009075,0.0,0.000447,0.048118,12.378598,24.739551,129,257.816107,5,0.007788,0.000451,6,1.945916,-3.163098,Cluster 6 · high building coverage / retail-rich
C015_001,15,1,0.5625,2072.0,270404.203595,105.209737,0.480719,3683.555556,248,440.888889,11,19.555556,32,56.888889,17,30.222222,48,85.333333,1,1.777778,8,14.222222,5,8.888889,126,224.0,152.681248,32.618182,39.25265,54.916601,206.79459,0.019976,0.0,0.0,0.024852,0.072376,0.0,0.000603,0.117807,14.058065,24.992116,156,277.333333,8,0.012461,0.004417,2,4.606405,-1.040932,Cluster 2 · recreation/culture-rich / transport-POI-rich
C015_002,15,2,0.5625,2002.0,227818.151273,81.085097,0.40501,3559.111111,248,440.888889,12,21.333333,21,37.333333,12,21.333333,46,81.777778,11,19.555556,24,42.666667,4,7.111111,118,209.777778,103.529191,103.920665,50.406855,395.493491,233.720816,0.003429,0.000202,0.004037,0.023825,0.005217,0.0,0.0,0.036711,12.966427,23.051426,85,151.111111,8,0.012461,0.008296,2,4.189702,-0.838595,Cluster 2 · recreation/culture-rich / transport-POI-rich
C015_003,15,3,0.5625,1398.0,217338.874602,95.046962,0.38638,2485.333333,263,467.555556,3,5.333333,30,53.333333,17,30.222222,48,85.333333,2,3.555556,23,40.888889,4,7.111111,136,241.777778,400.054424,20.386993,93.263743,270.636281,262.215022,0.012871,0.002006,0.012245,0.100204,0.042533,0.0,7.2e-05,0.169931,12.329027,21.91827,83,147.555556,8,0.012461,0.012022,6,3.838514,-0.55052,Cluster 6 · high building coverage / retail-rich
C015_004,15,4,0.5625,985.0,174681.709987,93.955106,0.310545,1751.111111,527,936.888889,12,21.333333,29,51.555556,23,40.888889,57,101.333333,15,26.666667,26,46.222222,8,14.222222,357,634.666667,245.616174,88.937936,152.065411,648.169911,156.809223,0.064139,0.105031,0.033616,0.00172,0.021873,0.0,0.0,0.226379,12.634999,22.462221,90,160.0,8,0.012461,0.015566,2,4.253191,-0.056724,Cluster 2 · recreation/culture-rich / transport-POI-rich
C015_005,15,5,0.5625,547.0,143752.854228,144.5164,0.255561,972.444444,319,567.111111,12,21.333333,27,48.0,14,24.888889,40,71.111111,30,53.333333,8,14.222222,4,7.111111,184,327.111111,239.897582,144.811168,101.245936,158.474553,100.027859,0.204001,0.04775,0.020773,0.058821,0.018101,0.0,0.0,0.349445,12.800342,22.756163,121,215.111111,8,0.012461,0.018606,2,4.2612,0.379895,Cluster 2 · recreation/culture-rich / transport-POI-rich
C015_006,15,6,0.5625,563.0,117305.438462,136.016867,0.208543,1000.888889,107,190.222222,8,14.222222,16,28.444444,5,8.888889,10,17.777778,0,0.0,11,19.555556,1,1.777778,56,99.555556,149.927026,202.198877,236.766803,522.701526,611.58019,0.018695,0.0,0.0,0.048491,0.037879,0.0,0.000493,0.105558,11.50718,20.457209,87,154.666667,8,0.012461,0.021669,6,1.722855,0.173345,Cluster 6 · high building coverage / retail-rich
C015_007,15,7,0.5625,1586.0,204676.25179,107.308114,0.363869,2819.555556,427,759.111111,20,35.555556,47,83.555556,38,67.555556,98,174.222222,2,3.555556,13,23.111111,9,16.0,200,355.555556,144.043408,199.756487,104.477862,369.409445,490.668578,0.000401,0.0,0.0,0.0,0.006076,0.0,0.0,0.006477,18.873766,33.553361,149,264.888889,8,0.012461,0.024274,6,4.239167,-0.186893,Cluster 6 · high building coverage / retail-rich
C015_008,15,8,0.5625,1474.0,207953.834221,119.130272,0.369696,2620.444444,595,1057.777778,23,40.888889,34,60.444444,121,215.111111,155,275.555556,3,5.333333,14,24.888889,6,10.666667,239,424.888889,111.13832,35.054449,56.869332,137.142724,194.295761,0.0,0.0267,0.0,0.119765,0.022061,0.0,0.0,0.168527,15.000488,26.667535,152,270.222222,8,0.012461,0.026668,2,5.58036,0.280929,Cluster 2 · recreation/culture-rich / transport-POI-rich
C015_009,15,9,0.5625,2000.0,215688.852639,90.453302,0.383447,3555.555556,294,522.666667,11,19.555556,33,58.666667,12,21.333333,69,122.666667,2,3.555556,10,17.777778,5,8.888889,152,270.222222,176.268526,99.831659,143.339288,223.308397,69.620288,0.0,0.0,0.0,0.0,0.007685,0.0,0.0,0.007685,9.506225,16.899956,69,122.666667,8,0.012461,0.028764,6,4.074266,0.241542,Cluster 6 · high building coverage / retail-rich
C015_010,15,10,0.5625,1329.0,205645.108758,126.231598,0.365591,2362.666667,541,961.777778,26,46.222222,47,83.555556,56,99.555556,90,160.0,6,10.666667,14,24.888889,7,12.444444,295,524.444444,143.878305,110.249644,110.249644,290.785525,104.033639,0.088278,0.0,0.0,0.019867,0.001888,0.0,0.0,0.110033,13.786479,24.509296,104,184.888889,8,0.012461,0.030708,2,4.962788,0.342655,Cluster 2 · recreation/culture-rich / transport-POI-rich
C015_011,15,11,0.5625,1521.0,166298.656545,82.506921,0.295642,2704.0,317,563.555556,11,19.555556,32,56.888889,27,48.0,52,92.444444,1,1.777778,10,17.777778,3,5.333333,181,321.777778,88.075323,40.90917,231.482289,179.675867,509.09812,0.015944,0.001374,0.000155,0.041028,0.004,0.0,0.0,0.0625,10.917696,19.409237,69,122.666667,8,0.012461,0.032287,6,3.815102,0.490636,Cluster 6 · high building coverage / retail-rich
C015_012,15,12,0.5625,1561.0,198114.133197,103.327911,0.352203,2775.111111,689,1224.888889,22,39.111111,58,103.111111,53,94.222222,123,218.666667,14,24.888889,5,8.888889,8,14.222222,406,721.777778,221.398059,154.779556,86.44465,258.426946,123.480353,0.0,0.0,0.0,0.001652,0.000992,0.0,0.0,0.002644,14.057104,24.990407,126,224.0,8,0.012461,0.033548,2,4.94118,0.478374,Cluster 2 · recreation/culture-rich / transport-POI-rich
C015_013,15,13,0.5625,1329.0,196241.672777,107.031117,0.348874,2362.666667,543,965.333333,21,37.333333,41,72.888889,35,62.222222,128,227.555556,6,10.666667,8,14.222222,7,12.444444,297,528.0,306.728162,130.16457,152.3087,228.743329,281.481256,0.0,0.000619,0.0,0.000257,0.0,0.0,0.0,0.000876,12.058541,21.437406,87,154.666667,8,0.012461,0.034619,2,4.320961,0.555958,Cluster 2 · recreation/culture-rich / transport-POI-rich
C015_014,15,14,0.5625,1058.0,204578.105675,131.434148,0.363694,1880.888889,759,1349.333333,15,26.666667,72,128.0,80,142.222222,136,241.777778,9,16.0,8,14.222222,10,17.777778,429,762.666667,135.233809,51.799949,48.231907,447.466571,121.409598,0.051262,0.000193,0.0,0.020725,0.012155,0.0,0.0,0.084335,13.29905,23.642756,104,184.888889,8,0.012461,0.035283,2,5.349901,0.634018,Cluster 2 · recreation/culture-rich / transport-POI-rich
C015_015,15,15,0.5625,773.0,175270.474524,155.817846,0.311592,1374.222222,355,631.111111,10,17.777778,25,44.444444,10,17.777778,55,97.777778,8,14.222222,12,21.333333,6,10.666667,229,407.111111,172.291417,105.120673,118.571345,184.394176,191.595242,0.049056,0.00114,0.001992,0.044915,0.04019,0.0,0.0,0.137293,12.272923,21.81853,98,174.222222,8,0.012461,0.035646,2,4.223566,0.897937,Cluster 2 · recreation/culture-rich / transport-POI-rich
C015_016,15,16,0.5625,1058.0,223446.935389,157.169096,0.397239,1880.888889,482,856.888889,16,28.444444,19,33.777778,13,23.111111,54,96.0,10,17.777778,5,8.888889,4,7.111111,361,641.777778,131.948717,143.309962,116.61145,183.695846,107.250082,0.000412,0.0005,0.0,1.4e-05,0.01421,0.0,0.0,0.015136,10.764887,19.137577,68,120.888889,8,0.012461,0.035685,6,4.272546,0.744813,Cluster 6 · high building coverage / retail-rich
C015_017,15,17,0.5625,1273.0,254754.868151,107.120861,0.452898,2263.111111,1279,2273.777778,41,72.888889,76,135.111111,161,286.222222,327,581.333333,5,8.888889,11,19.555556,21,37.333333,637,1132.444444,58.632601,58.856129,64.496457,47.839446,167.064617,0.0,0.0,0.0,0.021686,0.022158,0.0,0.0,0.043843,10.374842,18.444163,61,108.444444,8,0.012461,0.035372,2,6.421247,0.797271,Cluster 2 · recreation/culture-rich / transport-POI-rich
